--TAB SEPARATED DATA FILE--
CAMERA SETTINGS:
Resolution = (820, 616)
Shutter speed = 499907 microseconds
LED CYCLE:
Blue Illumination: 300s
Green Illumination: 1s
Number of Cycles: 0 <-- (0 is continuous loop)

ITERATION	DATE	TIME	TEMPERATURE	HUMIDITY	ISO	ANALOG GAIN	DIGITAL GAIN	
46	2019_12_11	21:08:39	29.0	54.0	100	2521/256	11/256
46	2019_12_11	21:08:39	29.0	56.0	800	331/128	11/256
47	2019_12_11	21:14:05	29.0	55.0	100	2521/256	11/256
47	2019_12_11	21:14:05	28.0	59.0	800	331/128	11/256
48	2019_12_11	21:20:49	28.0	59.0	100	2521/256	11/256
48	2019_12_11	21:20:49	27.0	59.0	800	331/128	11/256
49	2019_12_11	21:26:07	27.0	59.0	100	2521/256	11/256
49	2019_12_11	21:26:07	28.0	59.0	800	331/128	11/256
50	2019_12_11	21:31:25	28.0	59.0	100	2521/256	11/256
50	2019_12_11	21:31:25	28.0	59.0	800	331/128	11/256
51	2019_12_11	21:38:12	28.0	59.0	100	2521/256	11/256
51	2019_12_11	21:38:12	28.0	58.0	800	331/128	11/256
52	2019_12_11	21:43:25	28.0	58.0	100	2521/256	11/256
52	2019_12_11	21:43:25	28.0	58.0	800	331/128	11/256
53	2019_12_11	21:48:43	28.0	58.0	100	2521/256	11/256
53	2019_12_11	21:48:43	28.0	58.0	800	331/128	11/256
54	2019_12_11	21:55:45	28.0	58.0	100	2521/256	11/256
54	2019_12_11	21:55:45	28.0	58.0	800	331/128	11/256
55	2019_12_11	22:01:08	28.0	58.0	100	2521/256	11/256
55	2019_12_11	22:01:08	28.0	58.0	800	331/128	11/256
56	2019_12_11	22:06:23	28.0	58.0	100	2521/256	11/256
56	2019_12_11	22:06:23	28.0	58.0	800	331/128	11/256
57	2019_12_11	22:13:29	28.0	58.0	100	2521/256	11/256
57	2019_12_11	22:13:29	28.0	58.0	800	331/128	11/256
58	2019_12_11	22:18:42	28.0	58.0	100	2521/256	11/256
58	2019_12_11	22:18:42	29.0	57.0	800	331/128	11/256
59	2019_12_11	22:23:55	29.0	57.0	100	2521/256	11/256
59	2019_12_11	22:23:55	29.0	57.0	800	331/128	11/256
60	2019_12_11	22:31:20	27.0	58.0	100	2521/256	11/256
60	2019_12_11	22:31:20	27.0	58.0	800	331/128	11/256
61	2019_12_11	22:36:43	28.0	58.0	100	2521/256	11/256
61	2019_12_11	22:36:43	27.0	59.0	800	331/128	11/256
62	2019_12_11	22:41:56	27.0	59.0	100	2521/256	11/256
62	2019_12_11	22:41:56	28.0	59.0	800	331/128	11/256
63	2019_12_11	22:49:17	28.0	59.0	100	2521/256	11/256
63	2019_12_11	22:49:17	28.0	59.0	800	331/128	11/256
64	2019_12_11	22:54:30	28.0	59.0	100	2521/256	11/256
64	2019_12_11	22:54:30	28.0	59.0	800	331/128	11/256
65	2019_12_11	22:59:59	28.0	59.0	100	2521/256	11/256
65	2019_12_11	22:59:59	28.0	59.0	800	331/128	11/256
66	2019_12_11	23:07:17	28.0	59.0	100	2521/256	11/256
66	2019_12_11	23:07:17	28.0	59.0	800	331/128	11/256
67	2019_12_11	23:12:30	28.0	58.0	100	2521/256	11/256
67	2019_12_11	23:12:30	28.0	58.0	800	331/128	11/256
68	2019_12_11	23:17:43	28.0	58.0	100	2521/256	11/256
68	2019_12_11	23:17:43	28.0	58.0	800	331/128	11/256
69	2019_12_11	23:25:12	28.0	58.0	100	2521/256	11/256
69	2019_12_11	23:25:12	29.0	57.0	800	331/128	11/256
70	2019_12_11	23:30:27	29.0	53.0	100	2521/256	11/256
70	2019_12_11	23:30:27	29.0	53.0	800	331/128	11/256
71	2019_12_11	23:35:46	28.0	57.0	100	2521/256	11/256
71	2019_12_11	23:35:46	28.0	57.0	800	331/128	11/256
72	2019_12_11	23:43:18	28.0	57.0	100	2521/256	11/256
72	2019_12_11	23:43:18	28.0	59.0	800	331/128	11/256
73	2019_12_11	23:48:33	28.0	59.0	100	2521/256	11/256
73	2019_12_11	23:48:33	28.0	59.0	800	331/128	11/256
74	2019_12_11	23:53:48	28.0	59.0	100	2521/256	11/256
74	2019_12_11	23:53:48	28.0	59.0	800	331/128	11/256
75	2019_12_12	00:01:29	28.0	59.0	100	2521/256	11/256
75	2019_12_12	00:01:29	28.0	59.0	800	331/128	11/256
76	2019_12_12	00:06:46	28.0	59.0	100	2521/256	11/256
76	2019_12_12	00:06:46	28.0	58.0	800	331/128	11/256
77	2019_12_12	00:12:02	28.0	58.0	100	2521/256	11/256
77	2019_12_12	00:12:02	28.0	58.0	800	331/128	11/256
78	2019_12_12	00:20:02	28.0	58.0	100	2521/256	11/256
78	2019_12_12	00:20:02	28.0	58.0	800	331/128	11/256
79	2019_12_12	00:25:17	28.0	58.0	100	2521/256	11/256
79	2019_12_12	00:25:17	28.0	58.0	800	331/128	11/256
80	2019_12_12	00:30:35	28.0	58.0	100	2521/256	11/256
80	2019_12_12	00:30:35	28.0	58.0	800	331/128	11/256
81	2019_12_12	00:37:35	28.0	58.0	100	2521/256	11/256
81	2019_12_12	00:37:35	29.0	57.0	800	331/128	11/256
82	2019_12_12	00:42:54	28.0	58.0	100	2521/256	11/256
82	2019_12_12	00:42:54	29.0	57.0	800	331/128	11/256
83	2019_12_12	00:48:09	29.0	53.0	100	2521/256	11/256
83	2019_12_12	00:48:09	28.0	59.0	800	331/128	11/256
84	2019_12_12	00:55:12	28.0	59.0	100	2521/256	11/256
84	2019_12_12	00:55:12	28.0	59.0	800	331/128	11/256
85	2019_12_12	01:00:25	28.0	59.0	100	2521/256	11/256
85	2019_12_12	01:00:25	28.0	59.0	800	331/128	11/256
86	2019_12_12	01:05:38	28.0	59.0	100	2521/256	11/256
86	2019_12_12	01:05:38	28.0	59.0	800	331/128	11/256
87	2019_12_12	01:12:45	28.0	59.0	100	2521/256	11/256
87	2019_12_12	01:12:45	28.0	59.0	800	331/128	11/256
88	2019_12_12	01:17:58	28.0	58.0	100	2521/256	11/256
88	2019_12_12	01:17:58	28.0	58.0	800	331/128	11/256
89	2019_12_12	01:23:13	28.0	58.0	100	2521/256	11/256
89	2019_12_12	01:23:13	28.0	58.0	800	331/128	11/256
90	2019_12_12	01:30:24	28.0	58.0	100	2521/256	11/256
90	2019_12_12	01:30:24	28.0	58.0	800	331/128	11/256
91	2019_12_12	01:35:37	28.0	58.0	100	2521/256	11/256
91	2019_12_12	01:35:37	28.0	58.0	800	331/128	11/256
92	2019_12_12	01:40:57	28.0	58.0	100	2521/256	11/256
92	2019_12_12	01:40:57	28.0	58.0	800	331/128	11/256
93	2019_12_12	01:48:07	28.0	58.0	100	2521/256	11/256
93	2019_12_12	01:48:07	28.0	58.0	800	331/128	11/256
94	2019_12_12	01:53:23	28.0	58.0	100	2521/256	11/256
94	2019_12_12	01:53:23	28.0	58.0	800	331/128	11/256
95	2019_12_12	01:58:41	28.0	58.0	100	2521/256	11/256
95	2019_12_12	01:58:41	28.0	58.0	800	331/128	11/256
96	2019_12_12	02:06:11	28.0	57.0	100	2521/256	11/256
96	2019_12_12	02:06:11	28.0	58.0	800	331/128	11/256
97	2019_12_12	02:11:25	29.0	56.0	100	2521/256	11/256
97	2019_12_12	02:11:25	29.0	56.0	800	331/128	11/256
98	2019_12_12	02:16:40	29.0	57.0	100	2521/256	11/256
98	2019_12_12	02:16:40	29.0	57.0	800	331/128	11/256
99	2019_12_12	02:24:12	29.0	57.0	100	2521/256	11/256
99	2019_12_12	02:24:12	27.0	59.0	800	331/128	11/256
100	2019_12_12	02:29:28	27.0	59.0	100	2521/256	11/256
100	2019_12_12	02:29:28	27.0	59.0	800	331/128	11/256
101	2019_12_12	02:34:41	27.0	59.0	100	2521/256	11/256
101	2019_12_12	02:34:41	27.0	59.0	800	331/128	11/256
102	2019_12_12	02:42:19	27.0	59.0	100	2521/256	11/256
102	2019_12_12	02:42:19	28.0	59.0	800	331/128	11/256
103	2019_12_12	02:47:32	28.0	59.0	100	2521/256	11/256
103	2019_12_12	02:47:32	28.0	59.0	800	331/128	11/256
104	2019_12_12	02:52:45	28.0	59.0	100	2521/256	11/256
104	2019_12_12	02:52:45	28.0	59.0	800	331/128	11/256
105	2019_12_12	03:00:16	28.0	58.0	100	2521/256	11/256
105	2019_12_12	03:00:16	28.0	58.0	800	331/128	11/256
106	2019_12_12	03:05:32	28.0	58.0	100	2521/256	11/256
106	2019_12_12	03:05:32	28.0	58.0	800	331/128	11/256
107	2019_12_12	03:10:50	28.0	58.0	100	2521/256	11/256
107	2019_12_12	03:10:50	28.0	58.0	800	331/128	11/256
108	2019_12_12	03:18:35	28.0	58.0	100	2521/256	11/256
108	2019_12_12	03:18:35	28.0	58.0	800	331/128	11/256
109	2019_12_12	03:23:54	28.0	58.0	100	2521/256	11/256
109	2019_12_12	03:23:54	28.0	58.0	800	331/128	11/256
110	2019_12_12	03:29:10	28.0	58.0	100	2521/256	11/256
110	2019_12_12	03:29:10	28.0	58.0	800	331/128	11/256
111	2019_12_12	03:36:58	28.0	58.0	100	2521/256	11/256
111	2019_12_12	03:36:58	28.0	57.0	800	331/128	11/256
112	2019_12_12	03:42:14	28.0	57.0	100	2521/256	11/256
112	2019_12_12	03:42:14	28.0	57.0	800	331/128	11/256
113	2019_12_12	03:47:27	28.0	57.0	100	2521/256	11/256
113	2019_12_12	03:47:27	28.0	57.0	800	331/128	11/256
114	2019_12_12	03:55:15	28.0	57.0	100	2521/256	11/256
114	2019_12_12	03:55:15	28.0	57.0	800	331/128	11/256
115	2019_12_12	04:00:36	28.0	57.0	100	2521/256	11/256
115	2019_12_12	04:00:36	28.0	56.0	800	331/128	11/256
116	2019_12_12	04:05:51	28.0	57.0	100	2521/256	11/256
116	2019_12_12	04:05:51	28.0	57.0	800	331/128	11/256
